TABLE_NAME	ENGINE	TABLE_COLLATION	TABLE_COMMENT
resell_properties	InnoDB	utf8mb4_general_ci	
resell_property_images	InnoDB	utf8mb4_general_ci	
retained_earnings	InnoDB	utf8mb4_general_ci	
review_helpful_votes	InnoDB	utf8mb4_general_ci	
review_reports	InnoDB	utf8mb4_general_ci	
reward_redemptions	InnoDB	utf8mb4_general_ci	
royalty_pool_contributions	InnoDB	utf8mb4_general_ci	
royalty_pool_distributions	InnoDB	utf8mb4_general_ci	
saved_reports	InnoDB	utf8mb4_general_ci	
search_history	InnoDB	utf8mb4_general_ci	
search_indices	InnoDB	utf8mb4_general_ci	
search_logs	InnoDB	utf8mb4_general_ci	
search_suggestions	InnoDB	utf8mb4_general_ci	
seo_meta_tags	InnoDB	utf8mb4_general_ci	
site_availability	InnoDB	utf8mb4_general_ci	
support_ticket_replies	InnoDB	utf8mb4_general_ci	
task_dependencies	InnoDB	utf8mb4_general_ci	
test_ba_fk	InnoDB	utf8mb4_unicode_ci	
test_field_collections	InnoDB	utf8mb4_general_ci	
test_nn	InnoDB	utf8mb4_general_ci	
two_factor_tokens	InnoDB	utf8mb4_general_ci	
url_redirects	InnoDB	utf8mb4_general_ci	
user_activity_log	InnoDB	utf8mb4_general_ci	
user_kyc_documents	InnoDB	utf8mb4_general_ci	
user_locale_preferences	InnoDB	utf8mb4_general_ci	
user_payment_methods	InnoDB	utf8mb4_general_ci	
user_quick_actions	InnoDB	utf8mb4_general_ci	
user_theme_preferences	InnoDB	utf8mb4_general_ci	
visit_feedback	InnoDB	utf8mb4_general_ci	
voice_assistant_config	InnoDB	utf8mb4_general_ci	
webhook_deliveries	InnoDB	utf8mb4_unicode_ci	
webhook_endpoints	InnoDB	utf8mb4_unicode_ci	
whatsapp_click_log	InnoDB	utf8mb4_general_ci	
whatsapp_lead_shares	InnoDB	utf8mb4_general_ci	
wishlists	InnoDB	utf8mb4_general_ci	
